stop_id,stop_name,stop_lat,stop_lon
368,Ciders Bus Stop,-15.410784,28.379764
369,St Agnes - Ibex,-15.41116484,28.3836193
370,SBJ - Mungwi Rd,-15.38970454,28.237351
371,SBJ - Mungwi Rd,-15.3896696,28.23737561
372,Good Time - Mungwi Rd,-15.39098575,28.24220502
373,Good Time - Mungwi Rd,-15.39092374,28.24223236
374,Zambeef - Mungwi Rd,-15.39186982,28.24543773
375,Zambeef - Mungwi Rd,-15.39179896,28.2454595
376,Tobacco - Mungwi Rd,-15.39652666,28.25153199
377,Tobacco - Mungwi Rd,-15.39661227,28.25163659
378,Asharami Filling Station - Mungwi Rd,-15.39686945,28.25344671
379,Asharami Filling Station - Mungwi Rd,-15.39693451,28.25340619
380,Industrial Area - Mungwi Rd,-15.39739998,28.25600635
381,Industrial Area - Mungwi Rd,-15.39733386,28.25601087
382,Barloworld,-15.40038449,28.2660555
383,Barloworld,-15.40044155,28.26605528
384,Mount Meru - Lumumba Rd,-15.40178563,28.2668579
385,Mount Meru - Lumumba Rd,-15.40184679,28.26696503
386,Investrust Bank - Lumumba Rd,-15.40353927,28.26703802
387,Investrust Bank - Lumumba Rd,-15.40338281,28.26712078
388,Lilanda,-15.37853275,28.24318699
389,Lilanda,-15.37846611,28.24320536
390,Petroda - Commonwealth Rd,-15.37897163,28.24531221
391,Petroda - Commonwealth Rd,-15.3789126,28.24527191
392,Matero Secondary School,-15.37978948,28.24959654
393,Matero Secondary School,-15.37985204,28.24960646
394,Pa Chi Road - Commonwealth Rd,-15.379513,28.248175
395,Pa Chi Road - Commonwealth Rd,-15.37956103,28.2481663
396,Suger - Commonwealth Rd,-15.38023999,28.25210579
397,Suger - Commonwealth Rd,-15.38031865,28.25207844
398,Mount Meru - Commonwealth Rd,-15.38052192,28.25316709
399,Mount Meru - Commonwealth Rd,-15.38044836,28.2532099
400,Ibma Restaurant - Commonwealth Rd,-15.38074283,28.25477141
401,Ibma Restaurant - Commonwealth Rd,-15.38080758,28.25472216
402,Muchina Road - Commonwealth Rd,-15.38129815,28.25732212
403,Muchina Road - Commonwealth Rd,-15.3812388,28.25734511
404,Young Phiroz Butchery - Commonwealth Rd,-15.38174663,28.25960463
405,Young Phiroz Butchery - Commonwealth Rd,-15.38171477,28.25972552
406,Matero Market,-15.38215636,28.26208315
407,Matero Market,-15.38221607,28.26208044
408,MK - Commonwealth Rd,-15.38258583,28.26451843
409,MK - Commonwealth Rd,-15.38266003,28.2644967
410,Nyenyezi School - Chinsokolo,-15.38101525,28.26470593
411,Nyenyezi Institute - Chinsokolo,-15.37849641,28.26532614
412,Matero Catholic Church - Monze,-15.37719,28.265787
413,Methodist Church - Monze,-15.37628584,28.26597313
414,TC Hills - Monze,-15.37472,28.266226
415,Zambia Sugar - Lumumba Rd,-15.39593714,28.26676786
416,Zambia Sugar - Lumumba Rd,-15.39592516,28.266823
417,Saint Monica Secondary School - Matero,-15.378894,28.268424
418,Matero Stadium,-15.38143367,28.26814149
419,Melisa Supermarket - Commonwealth Rd,-15.38354227,28.2682564
420,Melisa Supermarket - Commonwealth Rd,-15.38365153,28.26830779
421,United Church - Lumumba Rd,-15.37996319,28.27430967
422,Oldies - Lumumba Rd,-15.38416932,28.2684592
423,Oldies - Lumumba Rd,-15.38404964,28.26861387
424,Bread of Life Church - Lumumba Rd,-15.38859195,28.26729467
425,Bread of Life Church - Lumumba Rd,-15.38877081,28.26744299
426,Buseko Market - Lumumba Rd,-15.39029698,28.26714028
427,Buseko Market - Lumumba Rd,-15.39032291,28.26729222
428,Puma Filling Station - Lumumba Rd,-15.39170798,28.26716739
429,Engen Filling Station - Lumumba Rd,-15.39230584,28.26701724
430,Uno Zamanita Filling Station - Mumbwa Rd,-15.4165706,28.26743167
431,Uno Zamanita Filling Station - Mumbwa Rd,-15.41664702,28.26743049
432,City Market,-15.419591,28.276033
433,Lumumba - From City Market,-15.415828,28.275433
434,Town - Lumumba,-15.41554073,28.27572962
435,Town - Lumumba,-15.4136124,28.27708406
436,Family - Lumumba Rd,-15.40658341,28.26820016
437,Family - Lumumba Rd,-15.40654218,28.26828582
438,First National Bank - Lumumba Rd,-15.40871996,28.27084818
439,First National Bank - Lumumba Rd,-15.40864187,28.27088807
440,Engen Filling Station - Lumumba Rd,-15.41045444,28.27472781
441,Town - Lumumba,-15.41377311,28.27700078
442,Engen Filling Station - Lumumba Rd,-15.41047363,28.27460925
443,Bauleni station,-15.447483,28.378229
444,Bauleni Junction,-15.44805166,28.37337668
445,Bauleni Junction,-15.4481398,28.37326191
446,Bauleni Mount Meru,-15.4442449,28.36924338
447,Memorial park (cemetry),-15.44028501,28.36248243
448,Godfrey Chitalu Road,-15.4414925,28.36482225
449,Old Leopards Hill Cemetery,-15.43829869,28.35862915
450,Crossroads,-15.43602645,28.35416891
451,UNHCR,-15.43291664,28.34842998
452,St. Mary's Secondary High School,-15.42986143,28.34284214
453,SOS- Great N,-15.35749187,28.27677619
454,SOS- Great N,-15.35757905,28.27685927
455,Novare,-15.36067933,28.27656708
456,Novare,-15.36073237,28.27665051
457,OYDC Football Pitch,-15.3636951,28.27637716
458,OYDC Football Pitch,-15.36358249,28.27649973
459,Heroes Stadium,-15.36826761,28.27628818
460,Heroes Stadium,-15.36827592,28.2761768
461,Palupili,-15.371027,28.27608
462,Palupili,-15.37100469,28.27619122
463,Mandevu - Great N,-15.37420528,28.27685944
464,Mandevu - Great N,-15.37416386,28.27695916
465,Great N Junction,-15.37587537,28.27863766
